Role,Synonyms,Skills
MULESOFT DEVELOPER,MULESOFT Coder|MULESOFT Programmer|MULESOFT Engineer,MuleSoft Anypoint Platform|API Integration|Java|Integration Patterns
NAGIOS ENGINEER,NAGIOS Developer|NAGIOS Specialist|NAGIOS Programmer,Nagios|System Monitoring|Linux|Networking
NETWORK AND SYSTEMS ADMINISTRATOR,NETWORK AND SYSTEMS Admin|NETWORK AND SYSTEMS Manager|NETWORK AND SYSTEMS ManagerISTRATOR|NETWORK AND SYSTEMS Ops|NETWORK AND SYSTEMS AdministratorISTRATOR,Networking|System Administration|Linux/Windows Servers|Troubleshooting
NETWORK ENGINEER,NETWORK Programmer|NETWORK Developer|NETWORK Specialist,Networking Protocols|Cisco/Juniper Devices|Network Security|Troubleshooting
NEW RELIC ENGINEER,NEW RELIC Developer|NEW RELIC Programmer|NEW RELIC Specialist,New Relic|Application Performance Monitoring|Troubleshooting|Cloud Computing
NEXUS ENGINEER,NEXUS Developer|NEXUS Specialist|NEXUS Programmer,Nexus Repository Manager|Artifact Management|DevOps Practices
NOMAD ENGINEER,NOMAD Developer|NOMAD Specialist|NOMAD Programmer,Nomad|Container Orchestration|HashiCorp Tools|Infrastructure Automation
NOTARY ENGINEER,NOTARY Specialist|NOTARY Programmer|NOTARY Developer,Notary|Container Security|Docker|Cryptography
OCTOPUS DEPLOY ENGINEER,OCTOPUS DEPLOY Programmer|OCTOPUS DEPLOY Specialist|OCTOPUS DEPLOY Developer,Octopus Deploy|Deployment Automation|.NET|PowerShell
OPENSHIFT ENGINEER,OPENSHIFT Developer|OPENSHIFT Specialist|OPENSHIFT Programmer,OpenShift|Kubernetes|Containerization|DevOps Practices
OPENSTACK ENGINEER,OPENSTACK Specialist|OPENSTACK Programmer|OPENSTACK Developer,OpenStack|Cloud Computing|Virtualization|System Administration
OPERATIONS ENGINEER,OPERATIONS Programmer|OPERATIONS Specialist|OPERATIONS Developer|Ops Developer|Ops Specialist|Ops Programmer|Ops ENGINEER,System Administration|Linux/Windows Servers|Troubleshooting|Scripting
ORACLE DEVELOPER,ORACLE Programmer|ORACLE Engineer|ORACLE Coder,Oracle Database|SQL|PL/SQL|Database Development
ORACLE SQL DEVELOPER,ORACLE SQL Engineer|ORACLE SQL Coder|ORACLE SQL Programmer,Oracle SQL|PL/SQL|Data Modeling|Database Design
PACKER ENGINEER,PACKER Specialist|PACKER Programmer|PACKER Developer,Packer|Infrastructure as Code|Cloud Computing|Automation
PHP DEVELOPER,PHP Engineer|PHP Coder|PHP Programmer,PHP|MySQL|Web Development|Frameworks (Laravel|Symfony)
POWERSHELL ENGINEER,POWERSHELL Programmer|POWERSHELL Developer|POWERSHELL Specialist,PowerShell|Automation|Windows Server Administration|Scripting
PRINCIPLE ENGINEER IN ARTIFICIAL INTELLIGENCE,PRINCIPLE Specialist IN ARTIFICIAL INTELLIGENCE|PRINCIPLE Specialist IN AI|PRINCIPLE Developer IN AI|PRINCIPLE Programmer IN AI|PRINCIPLE Programmer IN ARTIFICIAL INTELLIGENCE|PRINCIPLE Developer IN ARTIFICIAL INTELLIGENCE|PRINCIPLE ENGINEER IN AI,AI/ML Architecture|Leadership|Strategic Planning|Deep Learning
PRINCIPLE ENGINEER IN BIG DATA,PRINCIPLE Specialist IN BIG DATA|PRINCIPLE ENGINEER IN Data|PRINCIPLE Developer IN BIG DATA|PRINCIPLE Programmer IN BIG DATA|PRINCIPLE Programmer IN Data|PRINCIPLE Developer IN Data|PRINCIPLE Specialist IN Data,Big Data Architecture|Hadoop|Spark|Data Warehousing
PRINCIPLE ENGINEER IN DATA ANALYSIS,PRINCIPLE Programmer IN DATA ANALYSIS|PRINCIPLE Developer IN DATA ANALYSIS|PRINCIPLE Specialist IN DATA ANALYSIS,Data Analysis|Statistical Modeling|Data Visualization|Leadership
PRINCIPLE ENGINEER IN MACHINE LEARNING,PRINCIPLE ENGINEER IN ML|PRINCIPLE Specialist IN MACHINE LEARNING|PRINCIPLE Developer IN ML|PRINCIPLE Specialist IN ML|PRINCIPLE Programmer IN ML|PRINCIPLE Developer IN MACHINE LEARNING|PRINCIPLE Programmer IN MACHINE LEARNING,Machine Learning Algorithms|Model Development|Deployment|Leadership
PRODUCT MANAGER,PRODUCT Head|PRODUCT Leader,Product Strategy|Market Analysis|Requirements Gathering|Product Roadmap
PRODUCTION SUPPORT ENGINEER,PRODUCTION SUPPORT Programmer|PRODUCTION SUPPORT Developer|PRODUCTION SUPPORT Specialist,Troubleshooting|Incident Management|System Monitoring|Technical Support
PUPPET OPERATIONS ENGINEER,PUPPET Ops Specialist|PUPPET OPERATIONS Developer|PUPPET Ops Developer|PUPPET Ops ENGINEER|PUPPET OPERATIONS Programmer|PUPPET Ops Programmer|PUPPET OPERATIONS Specialist,Puppet|Configuration Management|Automation|Infrastructure as Code
SENIOR BUILD AND RELEASE ENGINEER,Sr BUILD AND RELEASE ENGINEER|SENIOR BUILD AND RELEASE Programmer|BUILD AND RELEASE ENGINEER SENIOR|Sr BUILD AND RELEASE Specialist|Sr BUILD AND RELEASE Programmer|SENIOR BUILD AND RELEASE Developer|SENIOR BUILD AND RELEASE Specialist|Sr BUILD AND RELEASE Developer,CI/CD Pipelines|Build Systems|Automation|Configuration Management
SENIOR BUILD ENGINEER,SENIOR BUILD Programmer|Sr BUILD Developer|SENIOR BUILD Developer|Sr BUILD Programmer|BUILD ENGINEER SENIOR|Sr BUILD Specialist|SENIOR BUILD Specialist|Sr BUILD ENGINEER,Build Systems|Scripting|Automation|Software Configuration Management
SENIOR DEVOPS ENGINEER,Sr DEVOPS Developer|Sr DEVOPS Specialist|Sr DEVOPS Programmer|Sr DEVOPS ENGINEER|DEVOPS ENGINEER SENIOR|SENIOR DEVOPS Programmer|SENIOR DEVOPS Specialist|SENIOR DEVOPS Developer,DevOps Practices|Cloud Computing|Automation|System Architecture
SITE RELIABILITY ENGINEER (KUBERNETES Ãâ¬Ã¯Â¿Â½ DOCKER),SITE RELIABILITY Programmer (KUBERNETES Ãâ¬Ã¯Â¿Â½ DOCKER)|SITE RELIABILITY Specialist (KUBERNETES Ãâ¬Ã¯Â¿Â½ DOCKER)|SITE RELIABILITY Developer (KUBERNETES Ãâ¬Ã¯Â¿Â½ DOCKER),Kubernetes|Docker|System Reliability|Automation|Monitoring
SPLUNK ENGINEER,SPLUNK Developer|SPLUNK Specialist|SPLUNK Programmer,Splunk|Log Management|Data Analysis|System Monitoring
XL DEPLOY ENGINEER,XL DEPLOY Developer|XL DEPLOY Specialist|XL DEPLOY Programmer,XL Deploy|Deployment Automation|DevOps Practices|Configuration Management
ZABBIX ENGINEER,ZABBIX Developer|ZABBIX Specialist|ZABBIX Programmer,Zabbix|System Monitoring|Network Monitoring|Alerting
API DEVELOPER,API Programmer|API Engineer|API Coder,API Design|RESTful Services|Programming Languages|Security
AUTOMATION SPECIALIST,AUTOMATION SPECIALIST,Automation Tools|Scripting|Process Improvement|Testing
BUSINESS INTELLIGENCE ANALYST,BI Specialist|BUSINESS INTELLIGENCE Consultant|BI ANALYST|BUSINESS INTELLIGENCE Specialist|BI Consultant,Data Analysis|SQL|Data Visualization|Business Acumen
CLOUD MIGRATION SPECIALIST,CLOUD MIGRATION SPECIALIST,Cloud Platforms|Migration Tools|System Migration|Project Management
CYBERSECURITY ANALYST,CYBERSECURITY Consultant|CYBERSECURITY Specialist,Security Protocols|Threat Analysis|Compliance|Incident Response
DATA QUALITY ENGINEER,DATA QUALITY Programmer|DATA QUALITY Specialist|DATA QUALITY Developer,Data Quality Tools|Data Profiling|SQL|Data Governance
DIGITAL TRANSFORMATION CONSULTANT,DIGITAL TRANSFORMATION CONSULTANT,Digital Strategy|Technology Consulting|Business Process Improvement|Change Management
E-COMMERCE DEVELOPER,E-COMMERCE Programmer|E-COMMERCE Engineer|E-COMMERCE Coder,E-Commerce Platforms|Web Development|Payment Gateways|Security
EMBEDDED SYSTEMS ENGINEER,EMBEDDED SYSTEMS Developer|EMBEDDED SYSTEMS Programmer|EMBEDDED SYSTEMS Specialist,Embedded Systems|C/C++|Firmware Development|Hardware Interfaces
ERP CONSULTANT,ERP CONSULTANT,ERP Systems|Business Process Analysis|Implementation|Training
GEOGRAPHIC INFORMATION SYSTEMS (GIS) ANALYST,GEOGRAPHIC INFORMATION SYSTEMS (GIS) Consultant|GEOGRAPHIC INFORMATION SYSTEMS (GIS) Specialist,GIS Software|Spatial Analysis|Cartography|Data Visualization
HELP DESK TECHNICIAN,HELP DESK TECHNICIAN,Technical Support|Troubleshooting|Customer Service|Hardware/Software
IDENTITY AND ACCESS MANAGEMENT SPECIALIST,IDENTITY AND ACCESS MANAGEMENT SPECIALIST,IAM Systems|Security Protocols|Authentication|Authorization
INFRASTRUCTURE ARCHITECT,INFRASTRUCTURE Lead|INFRASTRUCTURE Strategist|INFRASTRUCTURE Designer,System Architecture|Cloud Computing|Networking|Security
INTERNET OF THINGS (IoT) DEVELOPER,INTERNET OF THINGS (IoT) Coder|INTERNET OF THINGS (IoT) Programmer|INTERNET OF THINGS (IoT) Engineer,IoT Platforms|Embedded Systems|Sensor Technology|Programming Languages
IT AUDITOR,IT AUDITOR,IT Auditing|Compliance|Risk Management|Security
JAVA ARCHITECT,JAVA Strategist|JAVA Designer|JAVA Lead,Java|System Architecture|Design Patterns|Cloud Computing
LINUX ADMINISTRATOR,LINUX ManagerISTRATOR|LINUX Ops|LINUX Manager|LINUX Admin|LINUX AdministratorISTRATOR,Linux Servers|System Administration|Scripting|Troubleshooting
MAINFRAME DEVELOPER,MAINFRAME Coder|MAINFRAME Engineer|MAINFRAME Programmer,Mainframe Systems|COBOL|JCL|VSAM
MICROSOFT DYNAMICS DEVELOPER,MICROSOFT DYNAMICS Coder|MICROSOFT DYNAMICS Engineer|MICROSOFT DYNAMICS Programmer,Microsoft Dynamics|CRM|.NET|Development
MOBILE SECURITY SPECIALIST,MOBILE SECURITY SPECIALIST,Mobile Security|Penetration Testing|Security Protocols|Risk Management
NATURAL LANGUAGE PROCESSING ENGINEER,NATURAL LANGUAGE PROCESSING Programmer|NATURAL LANGUAGE PROCESSING Specialist|NATURAL LANGUAGE PROCESSING Developer,NLP Algorithms|Python|Machine Learning|Text Analysis
NETWORK ARCHITECT,NETWORK Designer|NETWORK Lead|NETWORK Strategist,Network Design|Network Protocols|Security|System Architecture
PENETRATION TESTER,PENETRATION TESTER,Penetration Testing|Security Audits|Ethical Hacking|Vulnerability Assessment
PYTHON ARCHITECT,PYTHON Designer|PYTHON Lead|PYTHON Strategist,Python|System Architecture|Design Patterns|Cloud Computing
QUALITY ASSURANCE MANAGER,QUALITY ASSURANCE Head|QA Head|QUALITY ASSURANCE Leader|QA MANAGER|QA Leader,QA Processes|Test Automation|Test Planning|Team Leadership
RELEASE MANAGER,RELEASE Leader|RELEASE Head,Release Management|CI/CD Pipelines|Coordination|Communication
SAP CONSULTANT,SAP CONSULTANT,SAP Modules|Business Process Analysis|Implementation|Customization
UX/UI DESIGNER,UX/UI DESIGNER,UX/UI Design|User Research|Prototyping|Usability Testing
WEB DEVELOPER,WEB Engineer|WEB Programmer|WEB Coder,HTML|CSS|JavaScript|Web Development|Frameworks
BACK END DEVELOPER,BACK END Engineer|BACK END Coder|BACK END Programmer,Server-Side Programming|Databases|API Development|Frameworks
WEB DESIGNER,WEB DESIGNER,Web Design|Graphic Design|UI/UX Principles|Wireframing
WEB ENGINEER,WEB Developer|WEB Programmer|WEB Specialist,Web Technologies|System Architecture|Performance Optimization|Security
WEB PRODUCER,WEB PRODUCER,Web Content Management|Project Management|Content Strategy|Collaboration
WEB PROJECT MANAGER,WEB PROJECT Leader|WEB PROJECT Head,Project Management|Web Development|Communication|Budgeting
WEB CONTENT MANAGER,WEB CONTENT Leader|WEB CONTENT Head,Content Creation|Content Strategy|CMS|SEO
MULTIMEDIA ARCHITECT,MULTIMEDIA Lead|MULTIMEDIA Designer|MULTIMEDIA Strategist,Multimedia Design|Video Production|Audio Production|Graphic Design
WEB ANALYTICS DEVELOPER,WEB ANALYTICS Engineer|WEB ANALYTICS Coder|WEB ANALYTICS Programmer,Web Analytics Tools|Data Analysis|Reporting|A/B Testing
SEO CONSULTANT,SEO CONSULTANT,Search Engine Optimization|Keyword Research|Content Optimization|Link Building
SEO MANAGER,SEO Leader|SEO Head,SEO Strategy|Team Leadership|Performance Monitoring|Reporting
INTERNET ENGINEER,INTERNET Developer|INTERNET Programmer|INTERNET Specialist,Networking Protocols|Internet Technologies|System Administration|Security
FRONT-END DESIGNER,FRONT-END DESIGNER,HTML|CSS|JavaScript|UI/UX Design|Responsive Design
MOBILE DEVELOPER,MOBILE Engineer|MOBILE Coder|MOBILE Programmer,Mobile App Development|iOS/Android SDKs|UI/UX Design|Programming Languages
PYTHON DEVELOPER,PYTHON Programmer|PYTHON Engineer|PYTHON Coder,Python|Web Frameworks (Django|Flask)|Data Analysis|Scripting
POWER BI DEVELOPER,POWER BI Coder|POWER BI Programmer|POWER BI Engineer,Power BI|Data Modeling|DAX|Data Visualization
POWER BI ANALYST,POWER BI Consultant|POWER BI Specialist,Power BI|Data Analysis|SQL|Business Intelligence
CLOUD COMPUTING SPECIALIST,CLOUD COMPUTING SPECIALIST,Cloud Platforms|Virtualization|System Administration|Security
CYBERSECURITY SPECIALIST,CYBERSECURITY SPECIALIST,Security Protocols|Threat Analysis|Compliance|Incident Response
DATA SCIENCE SPECIALIST,DATA SCIENCE SPECIALIST,Data Analysis|Machine Learning|Statistical Modeling|Data Visualization
ARTIFICIAL INTELLIGENCE ENGINEER,ARTIFICIAL INTELLIGENCE Specialist|AI Developer|AI Programmer|AI Specialist|AI ENGINEER|ARTIFICIAL INTELLIGENCE Programmer|ARTIFICIAL INTELLIGENCE Developer|AI Engineer,AI/ML Algorithms|Python|Deep Learning|Neural Networks
DATABASE ARCHITECT,DATABASE Strategist|DATABASE Designer|DATABASE Lead,Database Design|Data Modeling|SQL|Performance Tuning
SOFTWARE ARCHITECT,SOFTWARE Strategist|SOFTWARE Lead|SOFTWARE Designer,System Architecture|Design Patterns|Programming Languages|Cloud Computing
CYBERSECURITY ENGINEER,CYBERSECURITY Specialist|CYBERSECURITY Developer|CYBERSECURITY Programmer,Security Protocols|Threat Analysis|Risk Management|Incident Response
INFOSEC ANALYST/CYBERSECURITY ANALYST,INFOSEC Specialist/CYBERSECURITY Specialist|INFOSEC Consultant/CYBERSECURITY Consultant,Security Protocols|Threat Analysis|Compliance|Incident Response
COMPUTER FORENSIC ANALYST,COMPUTER FORENSIC Consultant|COMPUTER FORENSIC Specialist,Digital Forensics|Incident Response|Data Recovery|Legal Compliance
IT SECURITY SPECIALIST,IT SECURITY SPECIALIST,Security Protocols|Threat Analysis|Compliance|Risk Management
SECURITY MANAGER,SECURITY Head|SECURITY Leader,Security Management|Risk Assessment|Compliance|Team Leadership
SECURITY ENGINEER,SECURITY Specialist|SECURITY Programmer|SECURITY Developer,Security Protocols|Threat Analysis|Risk Management|Incident Response
SECURITY CONSULTANT,SECURITY CONSULTANT,Security Consulting|Risk Assessment|Compliance|Security Solutions
DIRECTOR OF SECURITY,DIRECTOR OF SECURITY,Security Leadership|Risk Management|Compliance|Incident Response
SECURITY ADMINISTRATOR,SECURITY Manager|SECURITY Admin|SECURITY Ops|SECURITY ManagerISTRATOR|SECURITY AdministratorISTRATOR,Security Tools|System Administration|User Management|Security Policies
SECURITY SPECIALIST,SECURITY SPECIALIST,Security Protocols|Threat Analysis|Compliance|Risk Management
CHIEF INFORMATION OFFICER,CHIEF INFORMATION OFFICER,IT Strategy|Leadership|Budgeting|Project Management
NETWORK SECURITY ENGINEER,NETWORK SECURITY Programmer|NETWORK SECURITY Developer|NETWORK SECURITY Specialist,Networking Protocols|Security Protocols|Firewall Management|Intrusion Detection
MACHINE LEARNING ENGINEER FOR CYBERSECURITY,MACHINE LEARNING Developer FOR CYBERSECURITY|MACHINE LEARNING Programmer FOR CYBERSECURITY|MLE FOR CYBERSECURITY|ML Developer FOR CYBERSECURITY|ML Programmer FOR CYBERSECURITY|MACHINE LEARNING Specialist FOR CYBERSECURITY|ML Specialist FOR CYBERSECURITY|ML Engineer FOR CYBERSECURITY|ML ENGINEER FOR CYBERSECURITY,Machine Learning Algorithms|Cybersecurity|Data Analysis|Threat Detection
NETWORK ANALYST,NETWORK Specialist|NETWORK Consultant,Network Monitoring|Troubleshooting|Performance Analysis|Reporting
NETWORK OPERATIONS ENGINEER,NETWORK OPERATIONS Programmer|NETWORK Ops Programmer|NETWORK Ops Developer|NETWORK OPERATIONS Specialist|NETWORK Ops Specialist|NETWORK Ops ENGINEER|NETWORK OPERATIONS Developer,Network Operations|Troubleshooting|Monitoring|Incident Response
NETWORK RELIABILITY ENGINEER,NETWORK RELIABILITY Developer|NETWORK RELIABILITY Programmer|NETWORK RELIABILITY Specialist,Network Reliability|Automation|Monitoring|Incident Response
NETWORK INFRASTRUCTURE SPECIALIST,NETWORK INFRASTRUCTURE SPECIALIST,Networking Hardware|Cabling|Network Design|Implementation
COMPUTER SUPPORT SPECIALIST,COMPUTER SUPPORT SPECIALIST,Technical Support|Troubleshooting|Customer Service|Hardware/Software
INFORMATION TECHNOLOGY ANALYST,INFORMATION TECHNOLOGY Specialist|INFORMATION TECHNOLOGY Consultant|IT Consultant|IT Specialist|IT ANALYST,IT Analysis|Requirements Gathering|Process Improvement|IT Consulting
TECHNOLOGY SALES CONSULTANT,TECHNOLOGY SALES CONSULTANT,Sales|Technology Solutions|Customer Relationship Management|Technical Expertise
DATABASE DEVELOPER,DATABASE Engineer|DATABASE Programmer|DATABASE Coder,Database Development|SQL|PL/SQL|Data Modeling
DATABASE ANALYST,DATABASE Consultant|DATABASE Specialist,Data Analysis|SQL|Data Modeling|Reporting
DATA WAREHOUSE MANAGER,DATA WAREHOUSE Leader|DATA WAREHOUSE Head,Data Warehousing|ETL Processes|Data Modeling|Team Leadership
DATA WAREHOUSE PROGRAMMING SPECIALIST,DATA WAREHOUSE PROGRAMMING SPECIALIST,ETL Processes|SQL|Data Modeling|Data Warehousing
INTELLIGENCE SPECIALIST,INTELLIGENCE SPECIALIST,Data Analysis|Intelligence Gathering|Reporting|Security
CLOUD/SOFTWARE ARCHITECT,CLOUD/SOFTWARE Strategist|CLOUD/SOFTWARE Designer|CLOUD/SOFTWARE Lead,Cloud Platforms|System Architecture|Cloud Security|DevOps
CLOUD/SOFTWARE DEVELOPER,CLOUD/SOFTWARE Coder|CLOUD/SOFTWARE Engineer|CLOUD/SOFTWARE Programmer,Cloud Platforms|Programming Languages|Software Development|Cloud Services
CLOUD/SOFTWARE APPLICATIONS ENGINEER,CLOUD/SOFTWARE APPLICATIONS Programmer|CLOUD/SOFTWARE APPLICATIONS Developer|CLOUD/SOFTWARE APPLICATIONS Specialist,Cloud Platforms|Application Development|Cloud Services|DevOps
CLOUD SYSTEM ADMINISTRATOR,CLOUD SYSTEM AdministratorISTRATOR|CLOUD SYSTEM ManagerISTRATOR|CLOUD SYSTEM Manager|CLOUD SYSTEM Admin|CLOUD SYSTEM Ops,Cloud Platforms|System Administration|Virtualization|Networking
CLOUD SYSTEM ENGINEER,CLOUD SYSTEM Specialist|CLOUD SYSTEM Developer|CLOUD SYSTEM Programmer,Cloud Platforms|System Engineering|Automation|Scripting
PLATFORM ENGINEER,PLATFORM Programmer|PLATFORM Developer|PLATFORM Specialist,Platform Engineering|Cloud Computing|Automation|DevOps Practices
SOFTWARE QUALITY ASSURANCE ANALYST,SOFTWARE QUALITY ASSURANCE Specialist|SOFTWARE QA Specialist|SOFTWARE QA ANALYST|SOFTWARE QUALITY ASSURANCE Consultant|SOFTWARE QA Consultant,QA Processes|Test Planning|Test Execution|Reporting
UI (USER INTERFACE) DESIGNER,UI (UI) DESIGNER,UI Design|User Research|Prototyping|Usability Testing
TECHNICAL ACCOUNT MANAGER,TECHNICAL ACCOUNT Head|TECHNICAL ACCOUNT Leader,Customer Relationship Management|Technical Support|Account Management|Sales
IT SALES EXECUTIVE,IT SALES EXECUTIVE,Sales|Technology Solutions|Customer Relationship Management|Sales Strategy
IT SALES DIRECTOR,IT SALES DIRECTOR,Sales Leadership|Sales Strategy|Customer Relationship Management|Team Management
TECHNOLOGY MANAGER,TECHNOLOGY Leader|TECHNOLOGY Head,IT Management|Team Leadership|Project Management|Budgeting
TECHNOLOGY ASSISTANT,TECHNOLOGY ASSISTANT,Technical Support|Administrative Support|Hardware/Software|Troubleshooting
TECHNOLOGY SPECIALIST,TECHNOLOGY SPECIALIST,Technical Expertise|Problem Solving|Troubleshooting|IT Support
DIRECTOR ORACLE,DIRECTOR ORACLE,Oracle Database|Team Leadership|Project Management|Budgeting
KNOWLEDGE MANAGER,KNOWLEDGE Leader|KNOWLEDGE Head,Knowledge Management|Information Architecture|Collaboration|Documentation
MANAGER HARDWARE,Leader HARDWARE|Head HARDWARE,Hardware Management|Team Leadership|Budgeting|Inventory Management
SHAREPOINT MANAGER,SHAREPOINT Head|SHAREPOINT Leader,SharePoint|Team Leadership|Project Management|Collaboration
REQUIREMENTS MANAGER,REQUIREMENTS Head|REQUIREMENTS Leader,Requirements Gathering|Analysis|Documentation|Communication
IMPLEMENTATION DIRECTOR,IMPLEMENTATION DIRECTOR,Implementation Management|Project Management|Team Leadership|Communication
TECHNOLOGY OFFICER,TECHNOLOGY OFFICER,IT Strategy|Leadership|Innovation|Project Management
DIRECTOR BUSINESS SYSTEMS,DIRECTOR BUSINESS SYSTEMS,Business Systems|Team Leadership|Project Management|Process Improvement
MANAGER NET,Head NET|Leader NET,NET Development|Team Leadership|Project Management|.NET Framework
SYSTEMS INTEGRATION MANAGER,SYSTEMS INTEGRATION Head|SYSTEMS INTEGRATION Leader,Systems Integration|Project Management|Team Leadership|Communication
DIGITAL PROGRAM MANAGER,DIGITAL PROGRAM Leader|DIGITAL PROGRAM Head,Digital Strategy|Program Management|Team Leadership|Communication
INTEGRATION DIRECTOR,INTEGRATION DIRECTOR,Integration Management|Project Management|Team Leadership|Communication
DIRECTOR HARDWARE,DIRECTOR HARDWARE,Hardware Management|Team Leadership|Budgeting|Strategic Planning
MANAGER LINUX,Leader LINUX|Head LINUX,Linux Administration|Team Leadership|Project Management|Troubleshooting
MANAGER PHP,Head PHP|Leader PHP,PHP Development|Team Leadership|Project Management|Web Development
FIRMWARE MANAGER,FIRMWARE Head|FIRMWARE Leader,Firmware Development|Team Leadership|Project Management|Embedded Systems
IT PROGRAM ENGAGEMENT DIRECTOR,IT PROGRAM ENGAGEMENT DIRECTOR,IT Program Management|Customer Relationship Management|Stakeholder Management|Team Leadership
MANAGER UNIX,Leader UNIX|Head UNIX,UNIX Administration|Team Leadership|Project Management|Troubleshooting
TECHNOLOGY ADOPTION MANAGER,TECHNOLOGY ADOPTION Leader|TECHNOLOGY ADOPTION Head,Technology Adoption|Training|Communication|Change Management
IT SUPPORT SPECIALIST,IT SUPPORT SPECIALIST,Technical Support|Troubleshooting|Customer Service|Hardware/Software
CUSTOMER SERVICE REPRESENTATIVE,CUSTOMER SERVICE REPRESENTATIVE,Customer Service|Communication|Problem Solving|Technical Support
TECHNICAL PRODUCT MANAGER,TECHNICAL PRODUCT Leader|TECHNICAL PRODUCT Head,Product Management|Technical Expertise|Market Analysis|Requirements Gathering
PROJECT MANAGER,PROJECT Head|PROJECT Leader,Project Management|Planning|Execution|Communication
PROGRAM MANAGER,PROGRAM Leader|PROGRAM Head,Program Management|Planning|Execution|Communication
PORTFOLIO MANAGER,PORTFOLIO Head|PORTFOLIO Leader,Portfolio Management|Investment Management|Risk Management|Financial Analysis
CHIEF INFORMATION OFFICER (CIO),CHIEF INFORMATION OFFICER (CIO),IT Strategy|Leadership|Budgeting|Project Management
CHIEF TECHNOLOGY OFFICER (CTO),CHIEF TECHNOLOGY OFFICER (CTO),Technology Strategy|Innovation|Research and Development|Team Leadership
IT DIRECTOR,IT DIRECTOR,IT Management|Team Leadership|Budgeting|Project Management
TECHNICAL OPERATIONS OFFICER,TECHNICAL Ops OFFICER,Technical Operations|Infrastructure Management|System Administration|Incident Response
INFORMATION MANAGEMENT SYSTEMS DIRECTOR,INFORMATION MANAGEMENT SYSTEMS DIRECTOR,Information Management|Systems Administration|Data Management|Compliance
SENIOR IT CONSULTANT,IT CONSULTANT SENIOR|Sr IT CONSULTANT,IT Consulting|Project Management|Technical Expertise|Client Management
TECHNICAL LEAD,TECHNICAL LEAD,Technical Leadership|Software Development|Team Leadership|Mentoring
IT APPRENTICE,IT APPRENTICE,Technical Support|Troubleshooting|Learning Agility|Customer Service
IT TECHNICIAN,IT TECHNICIAN,Technical Support|Troubleshooting|Hardware/Software|Networking
IT SYSTEMS ADMINISTRATOR,IT SYSTEMS Admin|IT SYSTEMS Manager|IT SYSTEMS ManagerISTRATOR|IT SYSTEMS AdministratorISTRATOR|IT SYSTEMS Ops,System Administration|Linux/Windows Servers|Troubleshooting|Scripting
IT ENGINEER,IT Programmer|IT Specialist|IT Developer,System Engineering|Networking|Cloud Computing|Security
COMPUTER NETWORK SPECIALIST,COMPUTER NETWORK SPECIALIST,Networking|Troubleshooting|System Administration|Security
COMPUTER AND INFORMATION RESEARCH SCIENTIST,COMPUTER AND INFORMATION RESEARCH Researcher|COMPUTER AND INFORMATION RESEARCH Analyst,Research Methodologies|Data Analysis|Programming|Scientific Writing
COMPUTER AND INFORMATION RESEARCH MANAGER,COMPUTER AND INFORMATION RESEARCH Leader|COMPUTER AND INFORMATION RESEARCH Head,Research Management|Team Leadership|Budgeting|Project Management
SOFTWARE DEVELOPMENT MANAGER,SOFTWARE DEVELOPMENT Leader|SOFTWARE DEVELOPMENT Head,Software Development|Team Leadership|Project Management|Software Architecture
SOFTWARE DEVELOPMENT ENGINEER,SOFTWARE DEVELOPMENT Specialist|SOFTWARE DEVELOPMENT Programmer|SOFTWARE DEVELOPMENT Developer,Software Development|Programming Languages|Algorithm Design|Problem Solving
APPLICATION DESIGNER,APPLICATION DESIGNER,Application Design|UI/UX Principles|Programming Languages|Software Architecture
APPLICATION ENGINEER,APPLICATION Specialist|APPLICATION Programmer|APPLICATION Developer,Application Development|Programming Languages|Troubleshooting|System Administration
LEAD PROGRAMMER,LEAD Developer|PROGRAMMER LEAD|LEAD Engineer|LEAD Coder,Programming Languages|Software Development|Team Leadership|Mentoring
ITERATION MANAGER,ITERATION Leader|ITERATION Head,Agile Methodologies|Scrum|Kanban|Team Facilitation
WEBMASTER,WEBMASTER,Web Development|Web Design|System Administration|Content Management
UX/UI RESEARCHER,UX/UI RESEARCHER,User Research|Usability Testing|Data Analysis|Reporting
UX/UI SPECIALIST,UX/UI SPECIALIST,UX/UI Design|User Research|Prototyping|Usability Testing
ANIMATOR,ANIMATOR,Animation Software|2D/3D Animation|Storyboarding|Visual Effects
MOTION GRAPHICS ARTIST,MOTION GRAPHICS ARTIST,Motion Graphics|Animation Software|Visual Effects|Graphic Design
2D ARTIST/ANIMATOR,2D ARTIST/ANIMATOR,2D Animation|Drawing|Illustration|Animation Software
3D ARTIST/ANIMATOR,3D ARTIST/ANIMATOR,3D Animation|Modeling|Texturing|Rigging
CHARACTER DESIGNER,CHARACTER DESIGNER,Character Design|Illustration|Drawing|Animation
STORYBOARD ARTIST,STORYBOARD ARTIST,Storyboarding|Drawing|Visual Communication|Film/Animation
VFX ARTIST,VFX ARTIST,Visual Effects|Compositing|3D Modeling|Simulation
RIGGING ARTIST,RIGGING ARTIST,Rigging|Animation|3D Modeling|Character Setup
TECHNICAL ANIMATOR,TECHNICAL ANIMATOR,Technical Animation|Scripting|Programming|Animation Software
ART DIRECTOR,ART DIRECTOR,Art Direction|Visual Design|Team Leadership|Project Management
